游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
纺织;纱线;纱或线;如花式纱;	纺织工业;针织;原料（针织用纱）;花式纱;	天文学;天文观测设备与观测资料;天文仪器;天象仪;
对纤维的处理;被处理的纤维或制成的纤维制品的化学成分;合成纤维;	化学工业;化学纤维工业;合成纤维;其他改性合成纤维;	地质、矿产普查与勘探;钻探工程;钻具及工具;钻进工具;
造纸;造纸;制造连续纸幅的造纸机的压榨部;湿压榨;	轻工业、手工业;造纸工业;造纸工艺;上网、压榨;	交通运输;铁路运输;机车工程;内燃机车;牵引电机及电器;牵引电器;
纺织;织物等的处理;纺织品的染色或印花;有关染色或印花纺织品;后处理;	工业技术;轻工业、手工业;纺织工业、染整工业;染整工业;印花;印花后处理;	电工技术;电器;电容器;电容器:按结构分;固定式电容器;
纺织;织物等的处理;纺织品的染色或印花;有关染色或印花纺织品;转移印花;	工业技术;轻工业、手工业;纺织工业、染整工业;染整工业;印花;印花方法;	交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;冷冻机械、冷凝器;
纺织;织物等的处理;洗涤;纺织品的洗涤;带容器的洗衣机;	电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;	金属学与金属工艺;焊接、金属切割及金属粘接;焊接设备;气焊设备;乙炔发生器;
纺织;针织;非织造布;通过此类工艺或设备制造的织物，如非织造布;针刺机;	轻工业、手工业;纺织工业、染整工业;非织造布;非织造布工艺;针刺法工艺;	冶金工业;铁合金冶炼;冶炼方法;高炉冶炼;
纺织;针织;非织造布;通过此类工艺或设备制造的织物，如非织造布;针刺机;	轻工业、手工业;纺织工业、染整工业;非织造布;各类非织造布;针刺法非织造布;	农业科学;农业工程;农业机械及农具;耕耘机具;表土耕作机械;镇压器;
纺织;纤维素的生产;纤维原料或其机械处理;纤维原料或其机械处理;	化学工业;化学纤维工业;一般性问题;原料与辅助物料;再生纤维原料;	太阳能技术;太阳能转换装置和设备;聚光器;
洗涤;纺织品的洗涤;带容器的洗衣机，如既能洗涤又能离心脱水的容器;	电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;	电工技术;电器;开关电器、断路器;各种开关;旋转和滑动开关;
墙壁、地面或类似物的覆盖材料，如油毡、油布、油毛毡;油毛毡，如涂沥青的纤维网;	建筑科学;建筑材料;防水、防潮材料，嵌缝、密封材料;油毡、防水卷材;油毛毡、油毡纸;	汽车工程;汽车发动机;部件、零件;曲柄连杆机构;曲轴;
编织;针织;通过针织动作补布;通过织补;	生活服务技术;家务管理;家庭缝纫、织补;	天文学;天文观测设备与观测资料;天文仪器;天象仪;
纺织品的染色或印花;按照所用染料、颜料分类的;用碱性染料;	化学工业;染料及中间体工业;各种性能的合成染料;碱性染料;	化学工业;高分子化合物工业（高聚物工业）;生产过程;改性处理;交联法;
纺织品的染色或印花;按照所用染料、颜料或助剂分类的;用酸性染料;	化学工业;染料及中间体工业;各种性能的合成染料;酸性染料;	工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦炉;
纺织;织物等的处理;地毯、小地毯;地毯、小地毯;	中国工艺美术;织染、服装、刺绣工艺美术;地毯、挂毯;	工业技术;武器工业;火箭、导弹;导弹;制导与控制;飞行控制系统;
造纸;造纸;纸的浸渍或涂布;涂布纸;	造纸工业;产品;各种加工纸;涂布加工纸;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;三偶氮染料;
纺织;花边制作;针织;饰带;花边;花边;编织物或花边;如枕头花边;	轻工业、手工业;纺织工业、染整工业;针织;各类针织物;花边及装饰物;	交通运输;公路运输;汽车工程;汽车结构部件;转向系统;转向系零部件;
造纸;造纸;用机械方法精制纸浆悬浮液;	造纸工业;制浆工艺;各种纸浆;废纸浆;	食品工业;酿造工业;各种酒及其制造;葡萄酒;
造纸;造纸;造纸机;制造连续纸幅的整套纸机;圆网机型的;	轻工业、手工业;造纸工业;机械与设备;造纸机械;圆网造纸机;	工业技术;机械、仪表工业;泵;内燃泵;
纺织;花边制作;针织;饰带;花边花边;手工编织或织花边的工具或器械;	轻工业、手工业;纺织工业、染整工业;针织;各类针织物;花边及装饰物;	畜牧;普通畜牧学;饲料;饲料加工处理与贮藏、保存方法;
造纸;纤维素的生产;制浆药液的再生;纤维素纸浆，例如木浆;	轻工业、手工业;造纸工业;制浆工艺;各种纸浆;木浆;	矿业工程;矿山设计与建设;凿岩爆破工程;掏槽方法;
纺织;纺纱或纺丝;制作化学长丝;长丝、线的生成;	轻工业、手工业;纺织工业、染整工业;丝纺织;丝纺织物;	金属学与金属工艺;金属切削加工及机床;镗削加工及镗床;卧式镗床;
纺织;缝纫;绣花;缝纫;缝纫机用送布机构;	轻工业、手工业;家务管理;家庭缝纫、织补;	工业技术;原子能技术;受控热核反应;热核反应堆;
洗涤;纺织品的洗涤;洗衣房系统或机器设备的配置;	房屋建筑设备;房屋卫生技术设备;卫生设备;洗衣房及其设备;	无线电电子学、电信技术;基本电子电路;脉冲技术、脉冲电路;脉冲的产生、脉冲发生器;间歇振荡器;
纺织;非织造布;制造纺织品;非织造布;用液态化学黏合剂固结;	纺织工业、染整工业;非织造布;各类非织造布;粘合法非织造布;	机车工程;蒸汽机车;锅炉部分;冷凝系统;冷凝器;
纺织;非织造布;制造纺织品;非织造布;用液态化学黏合剂固结;	纺织工业、染整工业;非织造布;非织造布工艺;化学粘合工艺;	水利工程;水利枢纽、水工建筑物;引水工程;冲砂放淤设施;冲砂闸;
造纸;造纸;制浆药液的再生;所需设备;蒸煮器;	轻工业、手工业;造纸工业;机械与设备;制浆机械;蒸煮设备;	交通运输;水路运输;船舶工程;航海技术管理与救助打捞;打捞工程;沉船打捞;
制造纺织品，用纤维原料;纤维制成的非织造布;玻璃纤维;	化学工业;化学纤维工业;无机纤维;玻璃纤维;	轻工业、手工业;造纸工业;原料及辅助物料;植物纤维;木质纤维;
纺织;编织;针织;针织;经编针织工艺;	纺织工业;针织;针织工艺;经编工艺;	轻工业、手工业;制镜;镜子;
纺织;编织;针织;针织;针织工艺，器械或机器;	纺织工业、染整工业;针织;针织用机具;准备机械;	工业技术;原子能技术;加速器;循环加速器;同步加速器;
纺织;针织;针织;纬编针织用圆机;专用于生产手套;	纺织工业、染整工业;针织;针织用机具;手套机;	轻工业、手工业;家务管理;家庭缝纫、织补;
织物等的处理;纺织品的熨烫;熨斗;	家用电器;清洁卫生用电器;电熨斗;	大气科学（气象学）;云和降水测定仪器;雨量器、雨量计、量雪尺;
造纸;浆料或纸浆组合物;甘蔗渣的;	造纸工业;制浆工艺;各种纸浆;蔗渣浆;	酿造工业;各种酒及其制造;啤酒;
纺织品的染色或印花;染色;按照所用染料分类的;用还原染料;	染料及中间体工业;各种结构的合成染料;蒽醌染料;还原染料;	公路运输;汽车工程;汽车发动机;往复式发动机;各种类型往复式发动机;气体燃料发动机;
纺织品的染色或印花;染色;按照所用染料分类的;用分散染料;	染料及中间体工业;各种结构的合成染料;蒽醌染料;分散染料;	轻工业、手工业;印刷工业;印刷技术的应用;报纸印刷;
土层或岩石的钻进;采矿;采矿或采石;水力采矿方法;产生脉冲流体射流的装置;	矿业工程;矿山机械;水力采矿机械化设备;水力采掘机械;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;各种类型锅炉;火管锅炉;
道路、铁路或桥梁的建筑;桥梁;桥梁零件;桥墩;桥台;	交通运输;公路运输;桥涵工程;桥梁构造;墩台结构（下部结构）;桥台;	化学工业;硅酸盐工业;玻璃工业;各种玻璃产品;玻璃纤维;
土层或岩石的钻进;采矿;竖井;隧道;平硐;地下室;井筒衬砌;衬砌物;	水利工程;水利工程施工;各种工程、工种;隧洞与地下工程;钻爆法施工;衬砌;	工业技术;矿业工程;矿山运输与设备;矿井提升;提升机;
道路、铁路或桥梁的建筑;桥梁;以支撑桥跨结构截面为特征的桥梁;箱型梁的;	交通运输;公路运输;桥涵工程;各种桥梁;桥梁：按结构分;梁式桥;箱梁桥;	服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋底、内底;
建筑物;专门用途的建筑物;停放汽车或类似车辆的建筑物，例如，汽车库;存放多辆车的车库;	交通运输;公路运输;汽车工程;汽车制造厂;车库;	轻工业、手工业;纺织工业、染整工业;丝纺织;丝纺织物;
采矿;矿井或隧道中或其自身的安全装置，通风;矿井或隧道的通风;风流的分配;风筒;	工业技术;矿业工程;矿山安全与劳动保护;矿井通风;通风管理与通风构筑物;	公路运输;汽车工程;电气设备及附件;照明与信号系统;停刹车信号装置;
道路、铁路或桥梁的建筑;街道清洗;喷湿或不喷湿路面清除道路或类似路面上的废物;洗刷设备;	交通运输;公路运输;道路工程;道路养护与维修;路面的养护与维修;洒水、清扫、防尘;	金属切削加工及机床;刨削加工、刨床;工具运动刨床;旋转盘刨床、螺旋刨床;
采矿;采矿或采石;露天矿的开采或运输机械;	矿业工程;矿山机械;采掘机械;露天矿采掘机械;	无线电电子学、电信技术;通信;通信保密与通信安全;通信安全技术;
建筑物;一般建筑物构造;屋顶;顶棚;屋顶;有关隔绝的屋顶构造;悬索屋顶;	建筑科学;建筑设计;房屋细部构造设计;屋顶（屋面）、屋檐;	一般工业技术;工业通用技术与设备;爆破技术;
道路、铁路的建筑;铁路轨道;铁路轨道附件;轨枕;	交通运输;铁路运输;铁路线路工程;线路构造;轨枕;	纺织工业、染整工业;非织造布;各类非织造布;粘合法非织造布;
道路的建筑;街道清洗;陆地清洗;喷湿或不喷湿路面清除道路或类似路面上的废物;	公路运输;道路工程;道路养护与维修;路面的养护与维修;洒水、清扫、防尘;	太阳能技术;太阳能转换装置和设备;聚光器;
采矿;矿井或隧道中或其自身的安全装置或排水;排水;	矿山安全与劳动保护;矿山排水与堵水;排水、堵水设备及排水系统;	计算机技术;电子数字计算机;基本电路;逻辑电路;
采矿;矿井或隧道中或其自身的安全装置或排水;排水;	矿业工程;矿山安全与劳动保护;矿山排水与堵水;排水、堵水方法;	工业技术;冶金工业;炼铁;炼铁炉（高炉）;热风炉;砌筑、维修;
采矿;矿井或隧道中或其自身的安全装置或排水;排水;	矿业工程;矿山机械;矿山固定机械设备;矿山排水设备;	能源与动力工程;内燃机;燃气轮机（燃气透平）;燃烧室;
固定建筑物;建筑物的闭合装置，例如，门、窗;特殊用途的门、窗;	工业技术;建筑科学;建筑设计;房屋细部构造设计;门、窗;	化学;高分子化学（高聚物）;杂链聚合物;链上含氧的聚合物;环氧树脂;
土层或岩石的钻进;采矿;采矿或采石;掏槽;	矿业工程;矿山设计与建设;凿岩爆破工程;掏槽方法;	工业技术;化学工业;炼焦化学工业;土法炼焦;简易炼焦炉;
土层或岩石的钻进;采矿;土层或岩石的钻进;钻头;岩心钻头;	地质、矿产普查与勘探;钻探工程;钻头、钻具及工具;钻头;	航空、航天;航空;飞机构造与设计;机翼;
土层或岩石的钻进;采矿;土层或岩石的钻进;钻头;岩心钻头;	石油机械设备与自动化;钻井机械设备;钻头、钻具与工具;	轻工业、手工业;纺织工业、染整工业;针织;各类针织物;花边及装饰物;
固定建筑物;隧道;隧道;其衬砌物;现场制衬砌物;	公路运输;隧道工程;隧道施工;隧道衬砌施工;	化工过程（物理过程及物理化学过程）;分离过程;单相系液态混合物的分离过程;
固定建筑物;给水;给水池的配置;用于公共的或类似用途的总给水系统;	建筑科学;市政工程;给水工程（上水道工程）;工业企业给水;给水系统;	航空、航天;航空;飞机构造与设计;机翼;翼上辅助装置;
固定建筑物;建筑物;模板;用以制作墙、楼板用的模壳，模板;	建筑科学;建筑施工;各项工程与工种;模板工程;各种模板;	矿业工程;矿山安全与劳动保护;矿山排水与堵水;排水、堵水方法;
固定建筑物;建筑物;屋面覆盖层;柔性材料屋面覆盖层;塑料的;	建筑科学;建筑材料;建筑化工材料;建筑塑料制品;塑料屋面材料;	能源与动力工程;水能、水力机械;水轮机;小型水轮机;
固定建筑物;水利工程;船舶提升设备或机械;船闸;船闸的泄水装置;	水路运输;通航建筑物;船闸;船闸尺度与构造;船闸输水系统;泄水设施;	电声技术和语音信号处理;语音信号处理;语音合成;
固定建筑物;水利工程;船舶提升设备或机械;船闸;竖井式船闸;	水路运输;通航建筑物与助航设备;船闸;各种船闸;井室船闸;	工业技术;原子能技术;加速器;循环加速器;回旋加速器;等时性回旋加速器;
固定建筑物;船舶提升设备或机械;船闸;船在船闸内航行所用的附属设备;	水路运输;通航建筑物与助航设备;船闸;船闸尺度与构造;船闸附属设备;	水路运输;船舶工程;船舶舾装设备;桅杆设备;
道路、铁路的建筑;铁路轨道;铁路轨道附件;轨道的一般结构;	铁路运输;铁路线路工程;线路构造;轨道;轨道结构、轨道设计;	粒子探测技术、辐射探测技术;中子和其他辐射探测器;中子探测器;
固定建筑物;桥梁的建筑;桥梁;一般的桥梁;	建筑科学;建筑设计;工业建筑;构筑物;桥梁;	机车工程;蒸汽机车;锅炉部分;冷凝系统;冷凝器;
固定建筑物;桥梁的建筑;桥梁;桁架桥;	各种桥梁;桥梁：按结构分;拱式桥;桁架拱桥;	体育器具制造工业;球类运动器具;网球、球网及附件;
固定建筑物;道路或桥梁的建筑;桥梁;悬索式斜拉桥;斜拉桥;	公路运输;桥涵工程;各种桥梁;桥梁：按结构分;斜拉桥;	体育;球类运动;高尔夫球;
固定建筑物;排水;下水道;排水构筑物;下水道的通风;	建筑科学;房屋建筑设备;排水设备;下水道的通气系统;	农业工程;农业机械及农具;种植机械;播种机;特殊结构播种机;
固定建筑物;水利工程;水利工程;拦河坝或堰的结构细部;冲砂闸;	水利工程;水利枢纽、水工建筑物;引水工程;冲砂放淤设施;冲砂闸;	一般工业技术;摄影技术;各种摄影技术;立体摄影;
道路的建筑;街道清洗;陆地清洗;将液体洒到道路或类似路面上;洒水车;	公路运输;道路工程;道路养护与维修;机动养路机械与设备;洒水车;	自动化技术及设备;机器人技术;机械手;专用机械手;
固定建筑物;给水;取水、集水或配水的装置或方法;泵站;	水利工程;水利枢纽、水工建筑物;取水、引水工程;泵站;	铁路运输;铁路线路工程;铁路养护与维修;除雪、防雪、防冰冻及设备;
土层或岩石的钻进;从井中开采油、气;钻井的设备;钻机;	石油、天然气工业;石油机械设备与自动化;钻井机械设备;钻机;	地质、矿产普查与勘探;钻探工程;钻具及工具;钻进工具;
土层或岩石的钻进;从井中开采油、气;钻机的支承装置，井架;	石油、天然气工业;石油机械设备与自动化;钻井机械设备;井架;	轻工业、手工业;造纸工业;机械与设备;制浆机械;蒸煮设备;
固定建筑物;疏浚;挖掘;疏浚;挖掘机;疏浚机;机械驱动的;	建筑科学;建筑施工机械和设备;土工机械、挖掘机械;挖掘机;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;水处理及给水装置;
道路、铁路或桥梁的建筑;桥梁;悬索式斜拉桥;悬索桥;	公路运输;桥涵工程;各种桥梁;桥梁：按结构分;悬索桥;	化学工业;磁性记录材料工业;原材料及辅助物料;载体;
建筑物;施工用具或其他建筑辅助设备，或其应用;楼梯，坡道;	建筑科学;建筑设计;房屋细部构造设计;楼梯、坡道、电梯;	金属学与金属工艺;金属切削加工及机床;镗削加工及镗床;卧式镗床;
建筑物;一般建筑物构造;墙;建筑物的墙，间壁墙;	建筑科学;建筑设计;房屋细部构造设计;墙、隔墙;	电工技术;电器;开关电器、断路器;熔断器、保险丝装置;限流熔断器;
水利工程;基础;水利工程;一般水利工程的设备、装置或方法;水工模型;	水利工程;水利工程基础科学;水力学;水工模型;水工模型试验;正态模型;	电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;
道路、铁路或桥梁的建筑;铁路轨道;铁路轨道附件;轨道上部结构;特殊支撑设备;	铁路运输;铁路线路工程;线路构造;轨道;轨道结构理论、轨道设计;轨道支撑及装置;	无线电电子学、电信技术;电视信号的传输;电视信号的光波传送系统、光放大器传输系统;
采矿;矿井或隧道中或其自身的安全装置，通风;空气的冷却或干燥;	矿业工程;矿山安全与劳动保护;矿井通风;通风系统、通风方法与设备;	轻工业、手工业;纺织工业、染整工业;一般性问题;机织（织造工艺）;
土层或岩石的钻进;采矿;竖井;隧道;反向凿井;	公路运输;隧道工程;隧道施工;竖井工程;	机械、仪表工业;机械零件及传动装置;机械传动机构;摩擦传动;摩擦分合装置;
道路、铁路或桥梁的建筑;铁路轨道;铁路轨道附件;交叉;交叉;突变交叉;	铁路运输;铁路运输管理工程;铁路枢纽;进站线路疏解、进路交叉;交叉;	其他轻工业、手工业;文教用品制造工业;笔;铅笔;
铁路轨道;铁路轨道附件;尖轨;尖轨附加器;与之有关的结构;	铁路运输;铁路线路工程;线路构造;尖轨与尖轨附加器、护轨;	轻工业、手工业;烟草工业;烟草加工工艺及制品;卷烟制造;抽梗、压梗;
固定建筑物;建筑物;楼板;楼板;用于隔绝的楼板结构;	建筑科学;建筑施工;各种预制构件;板、楼板;	轻工业、手工业;造纸工业;制浆工艺;制浆法;化学制浆;
道路、铁路的建筑;附属工程，防雪栅等的修建;防雪、防冰冻的设备;	铁路运输;铁路线路工程;路基加固与防护;防雪、防冰冻及设备;	矿业工程;矿山设计与建设;凿岩爆破工程;掏槽方法;
道路、铁路的建筑;附属工程，防雪栅等的修建;防雪、防冰冻的设备;	铁路运输;铁路线路工程;铁路养护与维修;除雪、防雪、防冰冻及设备;	化学工业;金属元素的无机化合物化学工业;金属元素的无机化合物;超铀元素的无机化合物;
固定建筑物;道路的建筑;防雪栅等的修建;防雪、侧风影响;	建筑科学;建筑结构;特种结构;防灾结构;防风、防雪结构;	无线电电子学、电信技术;传输线和波导;波导、波导管、波导传输线;
道路的建筑;附属工程，道路设备的修建;防眩光装置;防眩光装置;	公路运输;交通工程与公路运输技术管理;交通公害;眩光;	体育;体操运动;竞技体操;平衡木;
基础;基础;地下或水下结构物;土壤或岩石的改良或保护;	农业科学;农业基础科学;土壤学;土壤改良;其他土壤改良;	化学纤维工业;一般性问题;生产工艺;纺丝原液制备;
固定建筑物;建筑物;专门用途的建筑物或类似的构筑物;水塔;水塔;	建筑科学;市政工程;给水工程;配水工程;蓄水构筑物及其设备;水塔;	电工技术;电机;电机制造工艺及设备;一般制造工艺;
专门用途的建筑物或类似的构筑物;桅杆;桅杆装置;	水路运输;船舶工程;船舶舾装设备;桅杆设备;	医药、卫生;药学;药物基础科学;药物化学;有机药物化学;
固定建筑物;建筑物;专门用途的建筑物或类似的构筑物;烟囱;烟囱体;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;	金属学与金属工艺;磨具、模具和手工具;磨具、研具;研具;
固定建筑物;建筑物;专门用途的建筑物或类似的构筑物;烟囱;烟囱体;	建筑科学;建筑设计;房屋细部构造设计;烟囱;	工业技术;轻工业、手工业;烟草工业;烟草加工工艺及制品;雪茄烟;
采矿;采矿或采石;使矿物完全落离矿层的机械;单靠掏槽的;	矿业工程;矿山设计与建设;凿岩爆破工程;掏槽方法;	酿造工业;各种酒及其制造;啤酒;
土层或岩石的钻进;采矿;土层或岩石的钻进;其他钻具;	地质、矿产普查与勘探;钻探工程;钻具及工具;钻进工具;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;滚柱轴承;
固定建筑物;排水;下水道;下水管道系统;	建筑科学;房屋建筑设备;排水设备;下水道系统;	轻工业、手工业;烟草工业;烟草加工工艺及制品;卷烟制造;抽梗、压梗;
水利工程;地下或水下结构物;	水利工程;水工结构;水下结构;	能源与动力工程;特殊热能及其机械;太阳能技术;太阳能转换装置和设备;聚光器;
机械工程;工程元件或部件;轴;轴承;专用于旋转运动的滚动接触轴承;滚针轴承;滚针轴承;	工业技术;机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;滚针轴承;	工业技术;机械、仪表工业;泵;容积泵;隔膜泵;
一般机器或发动机;一般机器或发动机的冷却;液体冷却;冷却发动机或机器的其他零件的装置;	交通运输;公路运输;汽车工程;汽车发动机;旋转活塞式发动机;部件;冷却系统;	电工技术;电气化、电能应用;电气照明;灯泡、灯管;气体放电灯;
液体变容式机械;泵;具有柔性工作元件的机械、泵;具有板状柔性件，例如隔膜;	工业技术;机械、仪表工业;泵;容积泵;隔膜泵;	工业技术;金属压力加工;锻造用机械与设备;摩擦压力机;
一般机器或发动机;一般机器或发动机的冷却;冷却剂流量的控制;用冷却的空气作冷却剂;	航空;航空发动机;发动机附件系统;冷却系统;空气喷气发动机冷却系统;	交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;冷冻机械、冷凝器;
机械工程;液体变容式机械;泵;由内燃机驱动;	工业技术;机械、仪表工业;泵;内燃泵;	造纸工业;造纸工艺;干燥、压光;
机械工程;蒸汽机;一般的或变容式的机器或发动机，如蒸汽机;调节、控制或安全装置;安全装置的校验操作;	能源与动力工程;蒸汽动力工程;蒸汽轮机（蒸汽透平、汽轮机）;构造;安全装置;	电工技术;电器;电感器、线圈、扼流圈;固定电感线圈;
机械工程;制冷或冷却;制冷机，制冷设备或系统;具有几个蒸发回路的压缩机、压缩装置或压缩系统;	工业技术;一般工业技术;制冷工程;制冷机械和设备;压缩机;	一般工业技术;摄影技术;各种摄影技术;立体摄影;
机械工程;工程元件或部件;为产生和保持机器或设备的有效运行的一般措施;润滑;用于润滑器或润滑系统的润滑油容器;	机械、仪表工业;机械学（机械设计基础理论）;机械摩擦、磨损与润滑;润滑;润滑器具;	建筑科学;建筑设计;房屋细部构造设计;墙、隔墙;
机械工程;燃烧发动机;热气或燃烧生成物的发动机装置;一般燃烧发动机;以使用气态燃料工作为特征的发动机;	公路运输;汽车工程;汽车发动机;往复式发动机;各种类型往复式发动机;气体燃料发动机;	金属学与金属工艺;焊接、金属切割及金属粘接;焊接设备;气焊设备;乙炔发生器;
燃烧设备;燃烧方法;只用固体燃料的燃烧方法或设备;适用于锅炉的燃烧设备，其燃烧室位于锅炉内部;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;燃烧装置;	化学工业;试剂与纯化学品的生产;催化剂;催化剂制备工艺;催化剂载体;
机械工程;工程元件或部件;传动装置;主要只包括凸轮、凸轮随动件以及螺杆和螺母机构的传动装置;	机械、仪表工业;机械零件及传动装置;机械传动机构;啮合传动;凸轮;	无线电电子学、电信技术;基本电子电路;脉冲技术、脉冲电路;脉冲调制、解调，脉冲调制器;
工程元件或部件;制动器;制动件与鼓轮，轮缘或类似件的圆周面和内表面均接合的制动器;	公路运输;汽车工程;汽车结构部件;制动系统;制动器;鼓式;	无线电电子学、电信技术;半导体技术;一般性问题;半导体器件制造工艺及设备;表面处理;
机械工程;炉灶;其他家用炉或灶;一般用途家用炉或灶的零部件;零部件;	轻工业、手工业;五金制品工业;五金制品;日用五金制品;炉灶及灶具;	建筑科学;房屋建筑设备;排水设备;下水道的通气系统;
机械工程;工程元件或部件;转动工程元件;轴承;装配轴承;装配滑动接触轴承;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滑动轴承;塑料滑动轴承;	文教用品制造工业;绘图工具;绘图板、绘图桌;
机械工程;工程元件或部件;转动工程元件;轴承;装配轴承;装配滚动接触轴承;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;高速滚动轴承;	机车工程;一般性问题;机车构造;走行部分;转向架;减振装置;
照明;照明;发光装置或其系统;矿工非电手灯;	电气化、电能应用;电气照明;各种用途的灯;矿灯;	市政工程;排水工程;污水、污泥的处理及利用;
武器;弹药;爆破;弹药引信;引信;用于地雷的;	武器工业;弹药、引信、火工品;引信;武器用引信;地雷引信;	工业技术;矿业工程;矿山运输与设备;矿井提升;提升机;
武器;弹药;爆破;弹药引信;引信;用于鱼雷、水雷或深水炸弹的;	武器工业;弹药、引信、火工品;引信;武器用引信;水中兵器引信;	基本电子电路;滤波技术、滤波器;各形滤波器;
机械工程;蒸汽的发生;蒸汽的发生方法;蒸汽锅炉;筒型蒸汽锅炉;锅炉体外部带辅助水管的;	工业技术;能源与动力工程;蒸汽动力工程;蒸汽锅炉;各种类型锅炉;水管锅炉;	农业科学;水产、渔业;水产捕捞;捕捞技术;网鱼法;抄网、掩网捕捞;
机械工程;工程元件或部件;传送旋转运动的联轴器;冲击联轴器;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;混凝土搅拌机;
机械工程;一般机器的气流消音器;以消音方法为特点的消音装置;	交通运输;水路运输;船舶工程;船舶舾装设备;消音设备;	化学;有机化学;天然化合物;糖;多糖;
武器;武器;轻武器，例如手枪或步枪;肩射轻武器，例如步枪;	武器、军用器材;步兵武器、枪械及其他近战武器;枪械;步枪;	汽车工程;汽车发动机;往复式发动机;部件、零件;起动系统;电力起动;
机械工程;制冷或冷却;进行分离气体混合物成分的设备;通过精馏作用;	一般工业技术;制冷工程;制冷机械和设备;制冷设备;精馏及其设备;	武器工业;水中兵器;深水炸弹及发射装置;火箭式发射装置;
机械工程;燃烧设备;燃烧生成物或燃烧余渣的清除或处理;从燃烧室清除炉灰、炉渣;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;运行;炉灰、炉渣的清除;	一般工业技术;制冷工程;制冷机械和设备;制冷设备;精馏及其设备;
机械工程;工程元件或部件;传动装置;主要只带有摩擦元件的传动装置;	机械、仪表工业;机械零件及传动装置;机械传动机构;摩擦传动;摩擦轮;	轻工业、手工业;印刷工业;平版印刷;印刷过程与设备;
机械工程;工程元件或部件;传动装置;主要只带有摩擦元件的传动装置;	机械、仪表工业;机械零件及传动装置;机械传动机构;摩擦传动;摩擦分合装置;	铁路运输;铁路线路工程;线路构造;尖轨与尖轨附加器、护轨;
机械工程;工程元件或部件;传动装置;主要只带有齿轮的传动装置;	机械工业;机械零件及传动装置;机械传动机构;啮合传动;齿轮及齿轮传动;	无线电电子学、电信技术;无线电设备、电信设备;终端设备;
机械工程;工程元件或部件;制动器;制动器的部件或零件;	公路运输;汽车工程;汽车结构部件;制动系统;制动器;其他;	交通运输;铁路运输;车辆工程;货车;罐车;
机械工程;工程元件或部件;传送旋转运动的联轴器;离合器;离合器的传动;	工业技术;机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;	纺织工业、染整工业;毛纺织;原毛初加工;羊毛脂回收;
机械工程;照明;与照明装置或系统的用途;车内照明装置;	车辆工程;车体构造及设备;车辆设备;电气照明设备;	铁路运输;车辆工程;车体构造及设备;车辆设备;给水、卫生设备;
机械工程;照明;与照明装置或系统的用途;车内照明装置;	机车工程;一般性问题;机车设备与材料;电气照明设备;	交通运输;铁路运输;车辆工程;车体构造及设备;车辆设备;电气照明设备;
机械工程;照明;与照明装置或系统的用途;车内照明装置;	汽车工程;汽车结构部件;照明与信号系统;照明灯;	机械、仪表工业;坐标器、计算机具、计数器;计数器;
机械工程;蒸汽的发生;蒸汽的发生方法;蒸汽锅炉;水管锅炉;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;各种类型锅炉;水管锅炉;	化学工业;橡胶工业;胶乳制品;海绵类;
机械工程;工程元件或部件;减振装置;系统中振动的抑制;	机车工程;一般性问题;机车构造;走行部分;转向架;减振装置;	服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋底、内底;
机械工程;工程元件或部件;减震器;系统中振动的抑制;飞轮;	汽车工程;汽车发动机;部件、零件;曲轴、飞轮及扭振减震器;	化学;有机化学;天然化合物;碳水化合物、糖;单糖及其衍生物;单糖;
机械工程;工程元件或部件;曲轴机构的元件;转动工程元件;曲轴或连杆用的;	工业技术;机械、仪表工业;机械零件及传动装置;转动机件;连杆、曲柄;	无线电电子学、电信技术;电子元件、组件;电声器件;扬声器;立体声扬声器;
