A63B37/00 运动;游戏;娱乐活动;体育锻炼;球类;训练器械;实芯球;弹子;
G10L13/00 声学;语音分析或合成;语音或声音处理;语音合成;
G01S17/88 无线电定向;无线电导航;激光雷达系统;专门适用于特定应用的激光雷达系统;
G11C13/00 信息存储;静态存储器;存储元件的数字存储器;
G06C7/02 计算;推算;计数;一切计算均用机械方式实现的数字计算机;输入机构;键盘设备;
G01T3/06 测量;核辐射或X射线辐射的测量;中子辐射的测量;用闪烁探测器;
G01T3/00 物理;测量;核辐射或X射线辐射的测量;中子辐射的测量;
G01W1/11 物理;测量;气象学;气象学;用于指示大气湿度的装置;
G01W1/00 物理;测量;测试;气象学;气象学;
G08B19/00 信号装置;信号装置或呼叫装置;指令发信装置;报警装置;报警器;
G05D7/00 控制;调节;非电变量的控制或调节系统;流量控制;
G03C7/00 摄影术;照相用的感光材料;多色工艺的感光材料;
G01T5/08 核辐射或X射线辐射的测量;粒子的运动或轨迹的记录;粒子轨迹的处理或分析;闪烁室;
G01T5/04 核辐射或X射线辐射的测量;粒子的运动或轨迹的记录;粒子轨迹的处理或分析;云雾室;
G01C21/02 物理;测量;导航;导航;导航仪器;应用天文学的方法;
G01C21/24 物理;测量;导航;导航;导航仪器;专用于宇宙航行的导航;
G01B7/02 测量;长度的计量;计量设备;用于计量长度;
G01P11/00 测量;线速度或角速度、加速度、减速度的测量;测量速度的平均值;
G01V1/00 物理;测量;地球物理;物质或物体的探测;地震学;
G01V1/28 物理;测量;地球物理;物质或物体的探测;地震学;地震的勘探或探测;地震数据的处理;
G01B7/02 测量;长度的计量;计量设备;用于计量长度;
G01P11/00 测量;线速度或角速度、加速度、减速度的测量;测量速度的平均值;
G02B27/00 光学;光学元件、系统或仪器;其他光学系统;其他光学仪器;
G03B27/00 摄影术;摄影、放映或观看用的装置或设备;印片设备;
G21C5/00 核物理;核工程;核反应堆;慢化剂或堆芯结构;用作慢化剂材料的选择;
G05F1/10 物理;控制;调节;调节电变量或磁变量的系统;调节电压或电流;
G10C1/02 乐器;钢琴、大键琴、立式钢琴;竖式钢琴的;
G21D7/02 核工程;核发电厂;从聚变或裂变反应直接产生电能的装置;使用磁流体发电机;
G08B13/00 信号装置;信号装置或呼叫装置;指令发信装置;报警装置;夜盗、偷窃或入侵者报警器;
G01M13/021 测试;机器或结构部件的静或动平衡的测试;机械部件的测试;齿轮;传动机构;齿轮;
G03B43/00 摄影术;摄影、放映或观看用的装置或设备;摄影设备及其部件测量;
G03C1/00 摄影术;电影术;照相用的感光材料;感光材料;
G21C19/42 核物理;核工程;核反应堆;用于反应堆;经辐照的燃料的再处理;
G04F5/06 产生用作定时标准的预选的时间间隔的仪器;应用带机电谐振器的振荡器;应用压电谐振器;
G01C11/00 测量;摄影测量学或视频测量学;立体摄影测量学;摄影测量术;
G09B27/00 教育或演示用具;模型;天象仪;地图;天象仪;
G09B27/08 教育或演示用具;模型;地球仪;地图;地球仪;地球仪;
G04B1/26 驱动机构;用气体驱动的;机械控制子钟的气体驱动装置;
G03B17/02 摄影术;摄影、放映或观看用的装置或设备;照相机零部件或照相机的机身;机身;
G05D19/00 调节;非电变量的控制或调节系统;机械振荡的控制;
G01R21/00 物理;测量;测试;测量电变量;测量磁变量;电功率、功率因数的测量装置;
G08G9/02 信号装置;交通控制系统;飞行器的交通控制系统;防撞系统;
G02B21/00 物理;光学;光学元件、系统或仪器;显微镜;
G06C25/02 计算;计数;数字计算机;辅助功能装置;操作次数计数装置;
G05B15/00 控制;调节;一般的控制或调节系统;计算机控制系统;
G10D13/00 乐器;打击乐器;其他类目中不包括的乐器;打击乐器;
G10D13/00 乐器;打击乐器;其他类目中不包括的乐器;打击乐器;
G10D13/02 乐器;声学;打击乐器;零部件或附件;鼓;手鼓;
G02C1/00 物理;光学;眼镜;应用跨梁或眉杆的透镜组件的眼镜;
G01J3/00 物理;测量;红外光、可见光、紫外光的光谱成分;分光光度测定法;
G08C21/00 信号装置;测量值、控制信号或类似信号的传输系统;相对于预定参照系的目标位置传送系统;
G08B7/00 信号装置;信号装置或呼叫装置;指令发信装置;报警装置;信号装置;
G01J4/00 物理;测量;光的偏振的测量;测量光的偏振;
G21B1/00 核物理;核工程;聚变反应堆;热核聚变反应堆;
G01F9/00 测量;流量、质量流量的测量;测量相对于另一变量的流量;
G03B11/00 物理;摄影术;摄影用的装置或设备;专门适用于摄影用途的滤光器;
G10B1/02 乐器;管风琴;管风琴或具有吹风设备的风乐器;风琴的，即管风琴;
G21J3/00 核工程;核爆炸;核爆炸装置的和平利用;
G06C13/00 计算;推算;计数;一切计算均用机械方式实现的数字计算机;存储机构;
G21F9/20 核物理;核工程;处理放射性污染材料;及其去污染装置;处理液体的;液体废物的处理;
G21F9/34 核物理;核工程;处理放射性污染材料;及其去污染装置;处理固体的;固体废物的处置;
G09F21/00 广告;显示;广告;活动的目视广告;
G06G7/12 计算;计数;模拟计算机;用于执行计算操作的装置，例如，为执行计算操作专用的放大器;
G06F15/00 计算;计数;电数字数据处理;通用数字计算机;
G01K5/00 测量;温度测量;热量测量;以材料的膨胀或收缩为基础的温度测量仪表;
G01L17/00 测量;测量力或流体压力;测量压力的设备或仪表;
G06M3/00 计算;计数;计数机构;计数;有附加装置的计数器;
G01C13/00 测量;勘测;专门用于露天水源勘测;
G10L15/00 声学;语音识别;语音或声音处理;语音识别;
H01F3/06 电学;基本电气元件;磁体;电感;磁芯;线制的;
H04M3/00 电学;电通信技术;电话通信;自动或半自动交换局;
H04N5/04 电学;电通信技术;图像通信，如电视;电视系统的零部件;同步;
H03F9/02 电学;基本电子电路;放大器;磁放大器;电流控制的，即负荷电流双方向流过主线圈;
H03L3/00 电学;基本电子电路;电子振荡器或脉冲发生器的自动控制、起振、同步或稳定;发生器的起振;
H04N7/18 电学;电通信技术;图像通信，如电视;电视系统;闭路电视系统;
H04L12/70 电学;电通信技术;数字信息的传输，例如电报通信;数据交换网络;分组交换系统;
H04W16/00 电学;电通信技术;无线通信网络;网络规划;网络配置;
H02P7/03 电动机;用于调节或控制直流电动机的速度或转矩的装置;用于控制直流电动机的旋转方向;
H01F6/00 基本电气元件;磁体;电感;磁性材料的选择;超导磁体;超导线圈;
H05K1/00 其他类目不包含的电技术;印刷电路;电设备的外壳或结构零部件;印刷电路;
H02K23/02 电机;有机械换向器的直流换向器电动机或发电机;通用交直流换向器电动机;以励磁装置为特征的;
H01T19/00 电学;基本电气元件;电晕装置;电晕放电装置;
H03K21/38 基本电子电路;脉冲技术;脉冲计数器或分频器的零部件;计数器的启动、停止或复位;
H02K25/00 电学;发电、变电或配电;电机;直流断续电动机;
H01P9/04 电学;基本电气元件;波导;传输线或其他波导型器件;波导型延迟线;交指型传输线;
H01J37/00 电学;基本电气元件;放电管或放电灯;电子管;
H03H9/46 电学;基本电子电路;谐振电路;谐振器;机电谐振器;滤波器;
H03H9/66 电学;基本电子电路;阻抗网络;移相器;
H01F7/02 电学;基本电气元件;磁体;磁性材料的选择;磁体;永久磁体;
H01G4/32 电学;基本电气元件;电容器;电解型的电容器;卷绕电容器;
H01G4/00 电学;基本电气元件;电容器;电解型的电容器;固定电容器;
H01H51/00 电学;基本电气元件;继电器;电磁继电器;
H04R17/02 电学;电通信技术;传声器、声—机电传感器;压电传感器;传声器;
H01J21/20 电学;基本电气元件;放电管或放电灯;真空管;放电通道的管;复合管;
H02K15/00 电学;电机;专用于制造电机的方法或设备;
H01F19/02 电学;基本电气元件;变压器;信号类型的固定变压器;声频变压器;
H01F38/24 电学;基本电气元件;电感;电感器;仪用互感器;用于单相交流的;电压互感器;
H01F38/40 电学;基本电气元件;电感;电感器;仪用互感器;用于直流的;
H01F38/28 电学;基本电气元件;电感;电感器;仪用互感器;用于单相交流的;电流互感器;
H02K21/00 电学;变电或配电;电机;有永久磁体的同步电动机;
H02K21/00 电学;发电、变电或配电;电机;有永久磁体的同步发电机;
H02K7/04 电学;电机;结构上与电机连接用于控制机械能的装置;平衡装置;
H01C8/00 电学;基本电气元件;电阻器;不可调电阻器;
H04B10/90 电学;电通信技术;传输;传输系统;非光传输系统;
H04B10/90 电学;电通信技术;传输;传输系统;非光传输系统;
H04B10/00 电学;电通信技术;传输;利用电磁波（例如红外线、可见光或紫外线）的传输系统;
H04B10/60 电学;电通信技术;传输;利用无线电波以外的电磁波的传输系统;接收机;
H04W92/00 电通信技术;无线通信网络;专门适用于无线通信网络的接口;
H04R25/00 电学;电通信技术;助听器;助听器;
H04N3/30 电通信技术;电视;电视系统的扫描部件;不是等速的，非水平线或垂直线形成图形的;
H04W12/02 电学;电通信技术;无线通信网络;安全装置;保密或匿名;保密或匿名;
H02G15/34 电学;电缆或电线的安装;电缆配件;用于低温电缆的电缆配件;
H01B7/14 电学;电缆;按形状区分的电缆;海底电缆;
H01H53/06 基本电气元件;继电器;应用电动力效应的继电器;永磁式继电器;
H01K7/02 电学;基本电气元件;白炽灯;非一般照明用灯;用于探照灯的;
H01K7/04 电学;基本电气元件;白炽灯;非一般照明用灯;用于指示的;
H03H19/00 电学;基本电子电路;阻抗网络，谐振器;N通道滤波器;
H04W88/02 电学;电通信技术;无线通信网络;无线通信网络的设备;终端设备;
H04W56/00 电学;电通信技术;无线通信网络;同步装置;
H01P7/06 电学;基本电气元件;谐振器;波导型谐振器;空腔谐振器;
H01P7/06 电学;基本电气元件;谐振器;波导型谐振器;空腔谐振器;
H02K35/00 发电、变电或配电;电机;带有磁体、电枢或其他磁路部分的发电机;
H03G11/08 电学;基本电子电路;放大的控制;限幅;限制幅度的变化率;限制幅度的变化率;
H02K1/02 电学;发电、变电或配电;电机;磁路零部件;以磁性材料为特征的;
H01F17/00 电学;基本电气元件;电感;信号类型的固定电感器;
H01J15/00 电学;基本电气元件;放电管或放电灯;有气体阴极的充气放电管，如等离子阴极;
H01Q13/00 基本电气元件;天线;波导型喇叭或开口;漏波导天线;沿着导引波传输的途径辐射的等效结构;
H03C1/00 电学;基本电子电路;调制;幅度调制;
H01C10/46 基本电气元件;电阻器;可调电阻器;抽头的固定电阻器装置;
H03K4/00 电学;基本电子电路;脉冲技术;基本上有有限斜率或阶梯的脉冲的产生;
H01S5/00 电学;基本电气元件;利用除光之外的波范围内的电磁辐射的受激发射器件;半导体激光器;
H01S5/00 电学;基本电气元件;利用除光之外的波范围内的电磁辐射的受激发射器件;半导体激光器;
H01H31/00 基本电气元件;电开关;继电器;无灭弧或防弧装置的高压空气断路器;
H01B17/00 基本电气元件;绝缘体;导电、绝缘或介电材料的选择;绝缘子或绝缘物体;
H04R5/00 电通信技术;扬声器、传声器、唱机拾音器或其他声机电传感器;立体声装置;
H01H35/00 基本电气元件;电开关;由物理状态的变化操作的开关;
H03F3/00 基本电子电路;放大器;只带有电子管或只带有半导体器件作为放大元件的放大器;
H01H85/00 基本电气元件;电开关;电流通过其可熔材料的部分，电流过大时，由可熔材料的熔断使电流中断的保护装置;
H01L35/00 基本电气元件;半导体器件;热电器件;这些热电器件的零部件;
H01J1/00 基本电气元件;放电管或放电灯;放电管或灯的零部件;
H01C3/00 基本电气元件;电阻器;不可调电阻器;
H04N21/00 电通信技术;图像通信;例如交互式电视，或视频点播;
H03K27/00 基本电子电路;脉冲技术;模拟分频器;
H02B11/26 发电、变电或配电;配电盘、变电站或开关装置;熔断器、电阻器或类似装置的设备;
H03F15/00 基本电子电路;放大器;应用无机械运动的电磁效应的放大器;
H01H85/00 基本电气元件;电开关;电流通过其可熔材料的部分，电流过大时，由可熔材料的熔断使电流中断的保护装置;
H02B11/26 发电、变电或配电;配电盘、变电站或开关装置;熔断器、电阻器或类似装置的设备;
H01P11/00 基本电气元件;谐振器、传输线或其他波导型器件;专用于制造波导或谐振器;
H04W64/00 电通信技术;无线通信网络;移动性管理;
H01J61/00 电学;基本电气元件;放电管或放电灯;气体或蒸气放电灯;
H01K5/00 电学;基本电气元件;白炽灯;一般照明用灯;
H01J35/24 电学;基本电气元件;放电管或放电灯;X射线管;X射线管;
H01B12/00 基本电气元件;导体;导电或介电材料的选择;超导或高导导体;
H03K19/00 电学;基本电子电路;脉冲技术;逻辑电路;
H03K19/00 电学;基本电子电路;脉冲技术;逻辑电路;
H05H13/02 电学;电技术;等离子体技术;回旋加速器;同步回旋加速器，即调频回旋加速器;
H05H13/04 电学;电技术;等离子体技术;回旋加速器;同步加速器;
H01S3/02 电学;基本电气元件;利用辐射【激光】受激发射使用光放大过程来放大或产生光的器件;激光器;结构零部件;
H01F30/02 电学;基本电气元件;变压器;固定变压器;自耦变压器;
H03H15/00 电学;基本电子电路;阻抗网络;横向滤波器;
H04K3/00 电学;电通信技术;保密通信;对通信的干扰;反干扰;
H04K3/00 电学;电通信技术;保密通信;对通信的干扰;反干扰;
H01K9/00 电学;基本电气元件;白炽灯;具有分开加热的两个或两个以上发光体的灯;
H04R9/06 电学;电通信技术;扬声器;动圈、动片或动线型传感器;扬声器;
H04R9/08 电学;电通信技术;传声器;动圈、动片或动线型传感器;传声器;
H04R9/10 电学;电通信技术;声—机电传感器;动圈、动片或动线型传感器;电话受话器;
